CNN - Breaking News, Latest News and Videos~https://www.cnn.com~{'view': 1, 'the': 1, 'latest': 1, 'news': 2, 'and': 2, 'breaking': 1, 'today': 1, 'for': 1, 'u': 1, 's': 1, 'world': 1, 'weather': 1, 'entertainment': 1, 'politics': 1, 'health': 1, 'at': 1, 'cnn': 1, 'com': 1}
NBC News - Breaking News & Top Stories - Latest World, US & Local News | NBC News~https://www.nbcnews.com~{'go': 1, 'to': 1, 'nbcnews': 1, 'com': 1, 'for': 1, 'breaking': 1, 'news': 2, 'videos': 1, 'and': 2, 'the': 1, 'latest': 1, 'top': 1, 'stories': 1, 'in': 1, 'world': 1, 'business': 1, 'politics': 1, 'health': 1, 'pop': 1, 'culture': 1}
Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos~https://www.foxnews.com~{'america': 1, 'is': 1, 'watching': 1}
MSNBC News - Breaking News and News Today | Latest News~https://www.msnbc.com~{'msnbc': 1, 'breaking': 1, 'news': 5, 'and': 2, 'the': 1, 'latest': 1, 'for': 1, 'today': 1, 'get': 1, 'daily': 1, 'from': 2, 'local': 1, 'reporters': 1, 'world': 1, 'updates': 1, 'with': 1, 'live': 1, 'audio': 1, 'video': 1, 'our': 1, 'team': 1}
CNN fires Chris Cuomo for aiding his brother against sexual misconduct allegations~https://www.nbcnews.com/news/us-news/cnn-fires-chris-cuomo-suspension-rcna7245~{'cnn': 1, 'on': 1, 'saturday': 1, 'terminated': 1, 'host': 1, 'chris': 1, 'cuomo': 1, 'after': 1, 'an': 1, 'investigation': 1, 'by': 1, 'the': 2, 'new': 1, 'york': 1, 'attorney': 1, 'general': 1, 'showed': 1, 'in': 1, 'more': 1, 'detail': 1, 'how': 1, 'he': 1, 'helped': 1, 'his': 1, 'brother': 1, 'former': 1, 'governor': 1, 'defend': 1, 'himself': 1, 'against': 1, 'sexual': 1, 'misconduct': 1, 'allegations': 1}
HuffPost - Breaking News, U.S. and World News | HuffPost~https://www.huffpost.com/~{'read': 1, 'the': 1, 'latest': 1, 'headlines': 1, 'news': 1, 'stories': 1, 'and': 2, 'opinion': 1, 'from': 1, 'politics': 1, 'entertainment': 1, 'life': 1, 'perspectives': 1, 'more': 1}
SENATE | Fox News~https://www.foxnews.com/category/politics/senate~{'senate': 1}
News, sport and opinion from the Guardian's US edition | The Guardian~http://www.theguardian.com/us~{'latest': 1, 'us': 1, 'news': 2, 'world': 2, 'sports': 1, 'business': 1, 'opinion': 1, 'analysis': 1, 'and': 1, 'reviews': 1, 'from': 1, 'the': 2, 'guardian': 1, 's': 1, 'leading': 1, 'liberal': 1, 'voice': 1}
Another Team Trump lawyer to plead the Fifth in Jan. 6 probe~https://www.msnbc.com/rachel-maddow-show/another-team-trump-lawyer-plead-fifth-jan-6-probe-n1285331~{'for': 1, 'the': 3, 'second': 1, 'time': 1, 'this': 1, 'week': 1, 'a': 1, 'lawyer': 1, 'close': 1, 'to': 1, 'donald': 1, 'trump': 1, 'has': 1, 'told': 1, 'jan': 1, 'committee': 1, 'that': 1, 'he': 1, 'will': 1, 'plead': 1, 'fifth': 1}
The Economist - World News, Politics, Economics, Business & Finance~https://www.economist.com~{'authoritative': 1, 'global': 1, 'news': 1, 'and': 2, 'analysis': 1, 'the': 1, 'economist': 1, 'offers': 1, 'fair-minded': 1, 'fact-checked': 1, 'coverage': 1, 'of': 1, 'world': 1, 'politics': 1, 'economics': 1, 'business': 1, 'science': 1, 'culture': 1, 'more': 1}
EXECUTIVE | Fox News~https://www.foxnews.com/category/politics/executive~{'executive': 1}
AIR AND SPACE | Fox News~https://www.foxnews.com/category/science/air-and-space~{'air': 1, 'and': 1, 'space': 1}
Judge blocks new Texas social media law in blow to Republican trolls everywhere~https://www.msnbc.com/the-reidout/reidout-blog/judge-blocks-texas-social-media-law-rcna7563~{'a': 2, 'federal': 1, 'judge': 1, 'temporarily': 1, 'blocked': 1, 'hb': 1, 'new': 1, 'republican-backed': 1, 'texas': 1, 'law': 1, 'that': 1, 'would': 1, 'allow': 1, 'social': 1, 'media': 1, 'users': 1, 'censored': 1, 'online': 1, 'to': 1, 'sue': 1, 'for': 1, 'reinstatement': 1}
Fox News Video~https://video.foxnews.com/~{'watch': 1, 'the': 1, 'latest': 1, 'politics': 1, 'entertainment': 1, 'and': 1, 'breaking': 1, 'news': 1, 'videos': 1, 'at': 1, 'foxnews': 1, 'com': 1}
Biden’s infrastructure plans are taking flight. But inequality concerns remain.~https://www.msnbc.com/the-reidout/reidout-blog/biden-water-infrastructure-inequality-rcna7581~{'the': 2, 'first': 1, 'big': 1, 'slice': 1, 'of': 2, 'funds': 1, 'from': 1, 'recently': 1, 'passed': 1, 'bipartisan': 1, 'infrastructure': 2, 'package': 1, 'is': 1, 'being': 1, 'distributed': 1, 'to': 1, 'states': 1, 'in': 1, 'need': 1, 'water': 1, 'repairs': 1}
News, sport and opinion from the Guardian's US edition | The Guardian~http://www.theguardian.com/us~{'latest': 1, 'us': 1, 'news': 2, 'world': 2, 'sports': 1, 'business': 1, 'opinion': 1, 'analysis': 1, 'and': 1, 'reviews': 1, 'from': 1, 'the': 2, 'guardian': 1, 's': 1, 'leading': 1, 'liberal': 1, 'voice': 1}
ENVIRONMENT | Fox News~https://www.foxnews.com/category/world/environment~{'environment': 1}
RELIGION | Fox News~https://www.foxnews.com/category/world/religion~{'religion': 1}
SCANDALS | Fox News~https://www.foxnews.com/category/world/scandals~{'scandals': 1}
GLOBAL ECONOMY | Fox News~https://www.foxnews.com/category/world/global-economy~{'global': 1, 'economy': 1}
First big tranche of infrastructure dollars heading to states for water, lead pipes~https://www.nbcnews.com/politics/politics-news/first-big-tranche-infrastructure-dollars-heading-states-water-lead-pipes-n1285253~{'epa': 1, 'administrator': 1, 'michael': 1, 'regan': 1, 'said': 1, 'it': 1, 'was': 1, 'the': 3, '“single': 1, 'largest': 1, 'investment': 1, 'in': 2, 'water': 1, 'infrastructure”': 1, 'history': 1, 'of': 1, 'federal': 1, 'government': 1}
Technology | Fox Business~https://www.foxbusiness.com/technology~{'technology': 1, 'news': 1, 'on': 1, 'fox': 1, 'business': 1}
EPA Announces Water Infrastructure Funding for States Through the Bipartisan Infrastructure Law, Calls for Prioritizing Underserved Communities | US EPA~https://www.epa.gov/newsreleases/epa-announces-water-infrastructure-funding-states-through-bipartisan-infrastructure~{'epa': 2, 'news': 1, 'release': 1, 'announces': 1, 'water': 1, 'infrastructure': 2, 'funding': 1, 'for': 2, 'states': 1, 'through': 1, 'the': 1, 'bipartisan': 1, 'law': 1, 'calls': 1, 'prioritizing': 1, 'underserved': 1, 'communities': 1}
