go~[('https://www.nbcnews.com', 1)]
to~[('https://www.epa.gov/newsreleases/epa-announces-water-infrastructure-funding-states-through-bipartisan-infrastructure', 3), ('https://www.foxnews.com/category/politics/executive', 2), ('https://www.foxnews.com/category/science/air-and-space', 2), ('https://www.msnbc.com/the-reidout/reidout-blog/democrats-cant-let-republicans-bully-religious-freedom-act-rcna7475', 2), ('https://video.foxnews.com/', 2), ('https://www.nbcnews.com/politics/politics-news/gop-lawmaker-tweets-altered-anime-video-depicting-him-killing-ocasio-n1283527', 2), ('https://www.whitehouse.gov/get-involved/fellows/', 2), ('https://www.foxnews.com', 1), ('https://www.foxnews.com/category/world/global-economy', 1), ('https://www.foxnews.com/category/world/environment', 1), ('https://www.foxnews.com/category/world/scandals', 1), ('https://www.foxnews.com/category/world/religion', 1), ('https://www.nbcnews.com/politics/politics-news/first-big-tranche-infrastructure-dollars-heading-states-water-lead-pipes-n1285253', 1), ('http://www.theguardian.com/us', 1), ('https://www.huffpost.com/', 1), ('https://www.msnbc.com/the-reidout/reidout-blog/judge-blocks-texas-social-media-law-rcna7563', 1), ('https://www.nbcnews.com/news/us-news/cnn-fires-chris-cuomo-suspension-rcna7245', 1), ('https://www.msnbc.com/joe-biden', 1)]
nbcnews~[('https://www.msnbc.com', 1), ('https://www.msnbc.com/the-reidout/reidout-blog/biden-water-infrastructure-inequality-rcna7581', 1)]
com~[('https://www.nbcnews.com/news/us-news/cnn-fires-chris-cuomo-suspension-rcna7245', 1), ('https://www.msnbc.com/the-reidout/reidout-blog/judge-blocks-texas-social-media-law-rcna7563', 1), ('http://www.theguardian.com/us', 1), ('https://www.foxnews.com/category/politics/senate', 1)]
for~[('https://www.foxnews.com/category/world/global-economy', 2), ('https://www.foxnews.com/category/world/scandals', 2), ('https://www.huffpost.com/', 1), ('http://www.theguardian.com/us', 1), ('https://www.nbcnews.com', 1), ('https://www.foxbusiness.com/technology', 1), ('https://www.msnbc.com/rachel-maddow-show/another-team-trump-lawyer-plead-fifth-jan-6-probe-n1285331', 1), ('https://www.nbcnews.com/politics/politics-news/first-big-tranche-infrastructure-dollars-heading-states-water-lead-pipes-n1285253', 1), ('https://www.nbcnews.com/news/us-news/cnn-fires-chris-cuomo-suspension-rcna7245', 1), ('https://www.foxnews.com/category/world/religion', 1), ('https://www.msnbc.com/the-reidout/watch/michigan-tells-majority-black-city-of-benton-harbor-not-to-drink-lead-laced-water-123401797648', 1), ('https://www.nbcnews.com/politics/white-house/biden-sign-infrastructure-bill-marking-victory-hard-fought-legislative-battle-n1283910', 1), ('https://www.msnbc.com', 1), ('https://www.nbcnews.com/tech/tech-news/vaccine-misinformation-poised-spike-covid-shots-kids-roll-rcna4360', 1)]
breaking~[('https://www.foxnews.com/category/politics/senate', 1), ('https://www.foxnews.com', 1), ('http://www.theguardian.com/us', 1)]
news~[('http://www.theguardian.com/us', 2), ('https://www.msnbc.com', 2), ('https://www.huffpost.com/', 1), ('https://www.msnbc.com/rachel-maddow-show/another-team-trump-lawyer-plead-fifth-jan-6-probe-n1285331', 1), ('https://www.foxnews.com', 1), ('https://www.nbcnews.com/news/us-news/cnn-fires-chris-cuomo-suspension-rcna7245', 1), ('https://www.nbcnews.com/politics/politics-news/first-big-tranche-infrastructure-dollars-heading-states-water-lead-pipes-n1285253', 1), ('https://www.msnbc.com/the-reidout/reidout-blog/biden-water-infrastructure-inequality-rcna7581', 1), ('https://www.nbcnews.com/tech/tech-news/misinformation-thousand-cuts-varied-rigged-election-claims-circulate-n1247476', 1)]
videos~[('https://www.msnbc.com/rachel-maddow-show/another-team-trump-lawyer-plead-fifth-jan-6-probe-n1285331', 1), ('https://www.economist.com', 1), ('https://www.nbcnews.com/news/us-news/cnn-fires-chris-cuomo-suspension-rcna7245', 1)]
and~[('https://www.nbcnews.com/news/us-news/cnn-fires-chris-cuomo-suspension-rcna7245', 4), ('http://www.theguardian.com/us', 2), ('https://www.foxnews.com/category/politics/senate', 2), ('https://www.msnbc.com/the-reidout/reidout-blog/judge-blocks-texas-social-media-law-rcna7563', 2), ('https://www.msnbc.com', 2), ('https://www.nbcnews.com/politics/white-house/biden-s-big-infrastructure-ambitions-are-now-states-n1284258', 2), ('https://www.msnbc.com/the-reidout/reidout-blog/biden-signs-infrastructure-bill-rcna5590', 2), ('https://www.economist.com', 1), ('https://www.foxnews.com', 1), ('https://www.foxnews.com/category/world/global-economy', 1), ('https://www.foxnews.com/category/science/air-and-space', 1), ('https://video.foxnews.com/', 1), ('https://www.msnbc.com/the-reidout/reidout-blog/biden-title-42-trump-cdc-rcna5589', 1), ('https://www.foxnews.com/category/world/environment', 1), ('https://www.msnbc.com/the-reidout/reidout-blog/supreme-courts-mississippi-abortion-ignorance-doom-roe-rcna7463', 1), ('https://www.epa.gov/newsreleases/epa-announces-water-infrastructure-funding-states-through-bipartisan-infrastructure', 1), ('https://www.huffpost.com/', 1), ('https://www.nbcnews.com/tech/tech-news/misinformation-thousand-cuts-varied-rigged-election-claims-circulate-n1247476', 1)]
the~[('https://www.msnbc.com/the-reidout/reidout-blog/judge-blocks-texas-social-media-law-rcna7563', 3), ('https://www.msnbc.com/rachel-maddow-show/another-team-trump-lawyer-plead-fifth-jan-6-probe-n1285331', 3), ('https://www.foxnews.com/category/science/air-and-space', 3), ('https://www.msnbc.com', 3), ('https://www.foxnews.com', 2), ('https://www.nbcnews.com', 2), ('https://www.foxnews.com/category/world/global-economy', 2), ('https://www.msnbc.com/the-reidout/reidout-blog/biden-water-infrastructure-inequality-rcna7581', 2), ('https://www.foxnews.com/category/politics/executive', 1), ('https://www.huffpost.com/', 1), ('https://www.foxnews.com/category/politics/senate', 1), ('https://www.economist.com', 1), ('https://www.foxnews.com/category/world/environment', 1), ('http://www.theguardian.com/us', 1), ('https://video.foxnews.com/', 1), ('https://www.nbcnews.com/news/us-news/cnn-fires-chris-cuomo-suspension-rcna7245', 1), ('https://www.nbcnews.com/tech/tech-news/vaccine-misinformation-poised-spike-covid-shots-kids-roll-rcna4360', 1)]
latest~[('https://www.foxnews.com/category/science/air-and-space', 1), ('https://www.foxnews.com/category/politics/senate', 1), ('https://www.msnbc.com', 1), ('https://www.nbcnews.com', 1), ('https://www.msnbc.com/the-reidout/watch/covid-19-misinformation-decried-by-u-s-surgeon-general-dr-vivek-murthy-123045445545', 1), ('https://www.nbcnews.com/news/us-news/cnn-fires-chris-cuomo-suspension-rcna7245', 1)]
